Date,Close
2013-01-01,0.54
2013-01-02,0.543
2013-01-03,0.544
2013-01-04,0.549
2013-01-07,0.55
2013-01-08,0.551
2013-01-09,0.551
2013-01-10,0.55
2013-01-11,0.559
2013-01-14,0.566
2013-01-15,0.57
2013-01-16,0.57
2013-01-17,0.574
2013-01-18,0.587
2013-01-21,0.587
2013-01-22,0.586
2013-01-23,0.586
2013-01-24,0.585
2013-01-25,0.59
2013-01-28,0.609
2013-01-29,0.611
2013-01-30,0.619
2013-01-31,0.62
2013-02-01,0.622
2013-02-04,0.621
2013-02-05,0.618
2013-02-06,0.616
2013-02-07,0.617
2013-02-08,0.609
2013-02-11,0.606
2013-02-12,0.604
2013-02-13,0.602
2013-02-14,0.598
2013-02-15,0.593
2013-02-18,0.589
2013-02-19,0.586
2013-02-20,0.585
2013-02-21,0.583
2013-02-22,0.581
2013-02-25,0.571
2013-02-26,0.565
2013-02-27,0.56
2013-02-28,0.557
2013-03-01,0.549
2013-03-04,0.544
2013-03-05,0.543
2013-03-06,0.54
2013-03-07,0.538
2013-03-08,0.541
2013-03-11,0.542
2013-03-12,0.543
2013-03-13,0.542
2013-03-14,0.544
2013-03-15,0.543
2013-03-18,0.543
2013-03-19,0.545
2013-03-20,0.551
2013-03-21,0.55
2013-03-22,0.553
2013-03-25,0.549
2013-03-26,0.547
2013-03-27,0.545
2013-03-28,0.547
2013-04-02,0.544
2013-04-03,0.54
2013-04-04,0.54
2013-04-05,0.534
2013-04-08,0.534
2013-04-09,0.536
2013-04-10,0.537
2013-04-11,0.536
2013-04-12,0.534
2013-04-15,0.533
2013-04-16,0.53
2013-04-17,0.531
2013-04-18,0.526
2013-04-19,0.526
2013-04-22,0.525
2013-04-23,0.52
2013-04-24,0.518
2013-04-25,0.515
2013-04-26,0.515
2013-04-29,0.513
2013-04-30,0.51
2013-05-02,0.51
2013-05-03,0.493
2013-05-06,0.49
2013-05-07,0.49
2013-05-08,0.491
2013-05-09,0.488
2013-05-10,0.489
2013-05-13,0.49
2013-05-14,0.491
2013-05-15,0.491
2013-05-16,0.486
2013-05-17,0.479
2013-05-20,0.477
2013-05-21,0.475
2013-05-22,0.475
2013-05-23,0.473
2013-05-24,0.474
2013-05-27,0.474
2013-05-28,0.473
2013-05-29,0.476
2013-05-30,0.48
2013-05-31,0.478
2013-06-03,0.478
2013-06-04,0.482
2013-06-05,0.481
2013-06-06,0.48
2013-06-07,0.49
2013-06-10,0.495
2013-06-11,0.502
2013-06-12,0.504
2013-06-13,0.504
2013-06-14,0.504
2013-06-17,0.501
2013-06-18,0.503
2013-06-19,0.506
2013-06-20,0.516
2013-06-21,0.524
2013-06-24,0.535
2013-06-25,0.541
2013-06-26,0.539
2013-06-27,0.529
2013-06-28,0.527
2013-07-01,0.534
2013-07-02,0.534
2013-07-03,0.534
2013-07-04,0.534
