Date,Close
2013-01-02,13.0
2013-01-03,24.0
2013-01-04,125.0
2013-01-06,
2013-01-07,91.0
2013-01-08,57.0
2013-01-09,70.0
2013-01-10,52.0
2013-01-11,55.0
2013-01-13,
2013-01-14,25.0
2013-01-15,23.0
2013-01-16,8.0
2013-01-17,28.0
2013-01-18,54.0
2013-01-20,
2013-01-22,13.0
2013-01-23,3.0
2013-01-24,2.0
2013-01-25,0.0
2013-01-27,
2013-01-28,4.0
2013-01-29,68.0
2013-01-30,60.0
2013-01-31,3.0
2013-02-01,1.0
2013-02-03,
2013-02-04,4.0
2013-02-05,2.0
2013-02-06,0.0
2013-02-07,34.0
2013-02-08,48.0
2013-02-10,
2013-02-11,22.0
2013-02-12,53.0
2013-02-13,55.0
2013-02-14,73.0
2013-02-15,67.0
2013-02-17,
2013-02-19,58.0
2013-02-20,9.0
2013-02-21,1.0
2013-02-22,2.0
2013-02-24,
2013-02-25,11.0
2013-02-26,70905.0
2013-02-27,25170.0
2013-02-28,1524.0
2013-03-01,947.0
2013-03-03,
2013-03-04,78.0
2013-03-05,309.0
2013-03-06,212.0
2013-03-07,53.0
2013-03-08,333.0
2013-03-10,
2013-03-11,124.0
2013-03-12,58.0
2013-03-13,69.0
2013-03-14,30.0
2013-03-15,62.0
2013-03-17,
2013-03-18,98.0
2013-03-19,245.0
2013-03-20,23.0
2013-03-21,144.0
2013-03-22,135.0
2013-03-24,
2013-03-25,64.0
2013-03-26,126.0
2013-03-27,163.0
2013-03-28,8.0
2013-03-29,
2013-03-31,
2013-04-01,23.0
2013-04-02,7.0
2013-04-03,95.0
2013-04-04,192.0
2013-04-05,26.0
2013-04-07,
2013-04-08,33.0
2013-04-09,45.0
2013-04-10,10.0
2013-04-11,23.0
2013-04-12,148.0
2013-04-14,
2013-04-15,120.0
2013-04-16,51.0
2013-04-17,5.0
2013-04-18,4.0
2013-04-19,22.0
2013-04-21,
2013-04-22,30.0
2013-04-23,3.0
2013-04-24,4.0
2013-04-25,7.0
2013-04-26,85932.0
2013-04-28,
2013-04-29,19709.0
2013-04-30,2035.0
2013-05-01,1646.0
2013-05-02,1083.0
2013-05-03,242.0
2013-05-05,
2013-05-06,284.0
2013-05-07,595.0
2013-05-08,105.0
2013-05-09,290.0
2013-05-10,470.0
2013-05-12,
2013-05-13,97.0
2013-05-14,63.0
2013-05-15,139.0
2013-05-16,251.0
2013-05-17,99.0
2013-05-19,
2013-05-20,125.0
2013-05-21,37.0
2013-05-22,53.0
2013-05-23,42.0
2013-05-24,13.0
2013-05-26,
2013-05-28,45.0
2013-05-29,320.0
2013-05-30,364.0
2013-05-31,30.0
2013-06-02,
2013-06-03,90.0
2013-06-04,58.0
2013-06-05,72.0
2013-06-06,12.0
2013-06-07,53.0
2013-06-09,
2013-06-10,37.0
2013-06-11,103.0
2013-06-12,37.0
2013-06-13,27.0
2013-06-14,4.0
2013-06-16,
2013-06-17,7.0
2013-06-18,0.0
2013-06-19,2.0
2013-06-20,8.0
2013-06-21,42.0
2013-06-23,
2013-06-24,8.0
2013-06-25,9.0
2013-06-26,89816.0
2013-06-27,19460.0
2013-06-28,3748.0
2013-06-30,
2013-07-01,557.0
2013-07-02,499.0
2013-07-03,
2013-07-05,306.0
2013-07-07,
2013-07-08,301.0
2013-07-09,224.0
2013-07-10,165.0
2013-07-11,215.0
2013-07-12,90.0
2013-07-14,
2013-07-15,148.0
2013-07-16,15.0
2013-07-17,258.0
2013-07-18,271.0
2013-07-19,104.0
2013-07-21,
2013-07-22,176.0
2013-07-23,103.0
2013-07-24,82.0
2013-07-25,56.0
2013-07-26,64.0
2013-07-28,
2013-07-29,75.0
2013-07-30,106.0
2013-07-31,20.0
2013-08-01,19.0
2013-08-02,12.0
2013-08-04,
2013-08-05,17.0
2013-08-06,190.0
2013-08-07,25.0
2013-08-08,9.0
2013-08-09,26.0
2013-08-11,
2013-08-12,16.0
2013-08-13,8.0
2013-08-14,11.0
2013-08-15,75.0
2013-08-16,7.0
2013-08-18,
2013-08-19,0.0
2013-08-20,1.0
2013-08-21,13.0
2013-08-22,2.0
2013-08-23,21.0
2013-08-25,
2013-08-26,8.0
2013-08-27,1.0
2013-08-28,85956.0
2013-08-29,19701.0
2013-08-30,0.0
2013-09-01,
2013-09-03,1125.0
2013-09-04,864.0
2013-09-05,553.0
2013-09-06,325.0
2013-09-08,
2013-09-09,308.0
2013-09-10,239.0
2013-09-11,182.0
2013-09-12,137.0
2013-09-13,62.0
2013-09-15,
2013-09-16,137.0
2013-09-17,141.0
2013-09-18,144.0
2013-09-19,150.0
2013-09-20,37.0
2013-09-22,
2013-09-23,144.0
2013-09-24,79.0
2013-09-25,41.0
2013-09-26,60.0
2013-09-27,149.0
2013-09-29,
2013-09-30,123.0
2013-10-01,67.0
2013-10-02,71.0
2013-10-03,33.0
2013-10-04,63.0
2013-10-06,
2013-10-07,14.0
2013-10-08,13.0
2013-10-09,5.0
2013-10-10,33.0
2013-10-11,24.0
2013-10-13,
2013-10-14,20.0
2013-10-15,14.0
2013-10-16,0.0
2013-10-17,3.0
2013-10-18,0.0
2013-10-20,
2013-10-21,6.0
2013-10-22,8.0
2013-10-23,9.0
2013-10-24,19.0
2013-10-25,10.0
2013-10-27,
2013-10-28,16.0
2013-10-29,23.0
2013-10-30,31.0
2013-10-31,24.0
2013-11-01,23.0
2013-11-03,
2013-11-04,13.0
2013-11-05,2.0
2013-11-06,19.0
2013-11-07,33.0
2013-11-08,16.0
2013-11-10,
2013-11-11,2.0
2013-11-12,2.0
2013-11-13,9.0
2013-11-14,11.0
2013-11-15,1.0
2013-11-17,
2013-11-18,3.0
2013-11-19,5.0
2013-11-20,12.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-24,
2013-11-25,2.0
2013-11-26,53262.0
2013-11-27,25508.0
2013-11-29,
2013-12-01,
2013-12-02,1583.0
2013-12-03,582.0
2013-12-04,585.0
2013-12-05,399.0
2013-12-06,459.0
2013-12-08,
2013-12-09,92.0
2013-12-10,253.0
2013-12-11,123.0
2013-12-12,83.0
2013-12-13,139.0
2013-12-15,
2013-12-16,40.0
2013-12-17,84.0
2013-12-18,50.0
2013-12-19,49.0
