Date,Open,High,Low,Close
2013-01-02,0.259,0.283,0.259,0.271
2013-01-03,0.271,0.287,0.247,0.283
2013-01-04,0.271,0.307,0.260,0.275
2013-01-07,0.275,0.292,0.264,0.284
2013-01-08,0.272,0.284,0.248,0.256
2013-01-09,0.264,0.280,0.240,0.248
2013-01-10,0.244,0.272,0.232,0.256
2013-01-11,0.257,0.277,0.237,0.257
2013-01-14,0.257,0.269,0.237,0.257
2013-01-15,0.253,0.273,0.237,0.261
2013-01-16,0.262,0.274,0.241,0.253
2013-01-17,0.250,0.294,0.234,0.274
2013-01-18,0.266,0.287,0.246,0.262
2013-01-22,0.266,0.279,0.234,0.255
2013-01-23,0.255,0.267,0.230,0.247
2013-01-24,0.239,0.271,0.231,0.251
2013-01-25,0.251,0.300,0.235,0.288
2013-01-28,0.288,0.309,0.248,0.285
2013-01-29,0.293,0.305,0.266,0.281
2013-01-30,0.277,0.297,0.262,0.274
2013-01-31,0.273,0.289,0.250,0.277
2013-02-01,0.273,0.289,0.234,0.285
2013-02-04,0.285,0.285,0.238,0.258
2013-02-05,0.250,0.285,0.242,0.265
2013-02-06,0.254,0.273,0.246,0.254
2013-02-07,0.246,0.273,0.242,0.266
2013-02-08,0.254,0.278,0.238,0.258
2013-02-11,0.258,0.286,0.250,0.254
2013-02-12,0.258,0.286,0.246,0.270
2013-02-13,0.262,0.298,0.258,0.282
2013-02-14,0.282,0.294,0.258,0.278
2013-02-15,0.266,0.294,0.254,0.278
2013-02-19,0.266,0.294,0.266,0.282
2013-02-20,0.278,0.298,0.258,0.274
2013-02-21,0.258,0.278,0.246,0.262
2013-02-22,0.262,0.278,0.246,0.258
2013-02-25,0.258,0.278,0.238,0.250
2013-02-26,0.246,0.270,0.238,0.250
2013-02-27,0.254,0.266,0.234,0.250
2013-02-28,0.249,0.273,0.233,0.249
2013-03-01,0.249,0.257,0.229,0.245
2013-03-04,0.245,0.262,0.229,0.245
2013-03-05,0.241,0.261,0.229,0.245
2013-03-06,0.249,0.269,0.233,0.261
2013-03-07,0.257,0.277,0.245,0.257
2013-03-08,0.261,0.313,0.249,0.261
2013-03-11,0.261,0.277,0.241,0.261
2013-03-12,0.261,0.281,0.245,0.261
2013-03-13,0.261,0.293,0.249,0.269
2013-03-14,0.269,0.289,0.253,0.273
2013-03-15,0.273,0.282,0.249,0.265
2013-03-18,0.265,0.269,0.229,0.253
2013-03-19,0.253,0.261,0.233,0.245
2013-03-20,0.245,0.273,0.233,0.253
2013-03-21,0.253,0.269,0.237,0.257
2013-03-22,0.249,0.269,0.233,0.261
2013-03-25,0.261,0.273,0.241,0.257
2013-03-26,0.257,0.273,0.237,0.254
2013-03-27,0.254,0.273,0.238,0.246
2013-03-28,0.246,0.262,0.234,0.246
2013-04-01,0.246,0.270,0.230,0.242
2013-04-02,0.242,0.262,0.234,0.242
2013-04-03,0.242,0.262,0.219,0.222
2013-04-04,0.222,0.254,0.215,0.230
2013-04-05,0.230,0.250,0.218,0.230
2013-04-08,0.230,0.250,0.222,0.230
2013-04-09,0.242,0.254,0.222,0.238
2013-04-10,0.238,0.258,0.222,0.234
2013-04-11,0.242,0.254,0.222,0.230
2013-04-12,0.230,0.250,0.218,0.230
2013-04-15,0.230,0.246,0.214,0.222
2013-04-16,0.222,0.242,0.214,0.230
2013-04-17,0.230,0.242,0.214,0.230
2013-04-18,0.230,0.246,0.218,0.230
2013-04-19,0.230,0.246,0.218,0.234
2013-04-22,0.234,0.254,0.218,0.226
2013-04-23,0.226,0.242,0.218,0.234
2013-04-24,0.234,0.250,0.222,0.230
2013-04-25,0.230,0.254,0.222,0.242
2013-04-26,0.242,0.250,0.215,0.223
2013-04-29,0.223,0.231,0.203,0.215
2013-04-30,0.215,0.243,0.200,0.215
2013-05-01,0.223,0.231,0.192,0.208
2013-05-02,0.208,0.227,0.196,0.200
2013-05-03,0.200,0.236,0.196,0.224
2013-05-06,0.224,0.240,0.208,0.224
2013-05-07,0.224,0.244,0.212,0.224
2013-05-08,0.224,0.248,0.216,0.236
2013-05-09,0.236,0.244,0.208,0.232
2013-05-10,0.232,0.261,0.217,0.253
2013-05-13,0.253,0.265,0.229,0.249
2013-05-14,0.241,0.265,0.229,0.257
2013-05-15,0.257,0.273,0.233,0.249
2013-05-16,0.249,0.257,0.225,0.241
2013-05-17,0.241,0.270,0.222,0.254
2013-05-20,0.254,0.262,0.234,0.246
2013-05-21,0.242,0.258,0.234,0.250
2013-05-22,0.238,0.267,0.226,0.263
2013-05-23,0.255,0.267,0.238,0.263
2013-05-24,0.247,0.272,0.243,0.259
2013-05-28,0.255,0.309,0.247,0.305
2013-05-29,0.313,0.332,0.285,0.297
2013-05-30,0.305,0.321,0.289,0.305
2013-05-31,0.301,0.333,0.289,0.305
2013-06-03,0.305,0.329,0.258,0.297
2013-06-04,0.305,0.321,0.290,0.309
2013-06-05,0.305,0.325,0.270,0.297
2013-06-06,0.294,0.317,0.282,0.302
2013-06-07,0.298,0.353,0.258,0.314
2013-06-10,0.310,0.338,0.294,0.322
2013-06-11,0.326,0.358,0.306,0.330
2013-06-12,0.326,0.358,0.306,0.330
2013-06-13,0.338,0.346,0.278,0.294
2013-06-14,0.290,0.302,0.262,0.286
2013-06-17,0.278,0.294,0.254,0.278
2013-06-18,0.270,0.302,0.254,0.270
2013-06-19,0.266,0.347,0.250,0.315
2013-06-20,0.311,0.379,0.303,0.335
2013-06-21,0.331,0.392,0.262,0.380
2013-06-24,0.376,0.466,0.364,0.384
2013-06-25,0.388,0.434,0.352,0.434
2013-06-26,0.441,0.445,0.379,0.383
2013-06-27,0.391,0.399,0.352,0.367
2013-06-28,0.367,0.383,0.348,0.359
2013-07-01,0.363,0.387,0.344,0.359
2013-07-02,0.363,0.379,0.336,0.351
2013-07-03,0.355,0.367,0.336,0.363
2013-07-05,0.367,0.415,0.347,0.399
2013-07-08,0.415,0.419,0.355,0.363
2013-07-09,0.371,0.391,0.359,0.375
2013-07-10,0.379,0.391,0.347,0.355
2013-07-11,0.335,0.355,0.327,0.331
2013-07-12,0.335,0.355,0.315,0.343
2013-07-15,0.351,0.363,0.323,0.331
2013-07-16,0.327,0.343,0.311,0.327
2013-07-17,0.331,0.343,0.295,0.303
2013-07-18,0.307,0.323,0.291,0.307
2013-07-19,0.311,0.322,0.298,0.302
2013-07-22,0.298,0.314,0.286,0.294
2013-07-23,0.302,0.328,0.298,0.328
2013-07-24,0.336,0.367,0.336,0.351
2013-07-25,0.359,0.371,0.324,0.328
2013-07-26,0.332,0.348,0.309,0.324
2013-07-29,0.324,0.340,0.305,0.328
2013-07-30,0.344,0.344,0.328,0.328
2013-07-31,0.321,0.356,0.305,0.321
2013-08-01,0.325,0.352,0.309,0.337
2013-08-02,0.333,0.361,0.297,0.305
2013-08-05,0.309,0.325,0.294,0.313
2013-08-06,0.309,0.329,0.298,0.313
2013-08-07,0.317,0.325,0.302,0.317
2013-08-08,0.314,0.325,0.294,0.310
2013-08-09,0.306,0.326,0.298,0.306
2013-08-12,0.314,0.326,0.298,0.318
2013-08-13,0.310,0.350,0.306,0.346
2013-08-14,0.338,0.350,0.322,0.338
2013-08-15,0.330,0.374,0.318,0.358
2013-08-16,0.350,0.371,0.339,0.355
2013-08-19,0.347,0.379,0.343,0.359
2013-08-20,0.355,0.367,0.339,0.347
2013-08-21,0.343,0.388,0.331,0.379
2013-08-22,0.375,0.408,0.363,0.400
2013-08-23,0.396,0.421,0.372,0.384
2013-08-26,0.384,0.405,0.364,0.376
2013-08-27,0.372,0.389,0.356,0.379
2013-08-28,0.379,0.410,0.371,0.399
2013-08-29,0.395,0.418,0.387,0.403
2013-08-30,0.399,0.414,0.375,0.403
2013-09-03,0.426,0.454,0.395,0.422
2013-09-04,0.418,0.482,0.407,0.478
2013-09-05,0.474,0.534,0.466,0.526
2013-09-06,0.522,0.550,0.355,0.467
2013-09-09,0.463,0.475,0.427,0.451
2013-09-10,0.447,0.487,0.439,0.471
2013-09-11,0.475,0.487,0.439,0.451
2013-09-12,0.443,0.479,0.423,0.447
2013-09-13,0.451,0.488,0.415,0.439
2013-09-16,0.443,0.447,0.367,0.395
2013-09-17,0.391,0.411,0.375,0.383
2013-09-18,0.375,0.415,0.246,0.327
2013-09-19,0.331,0.391,0.302,0.343
2013-09-20,0.339,0.367,0.318,0.339
2013-09-23,0.343,0.367,0.314,0.339
2013-09-24,0.330,0.351,0.314,0.347
2013-09-25,0.359,0.379,0.340,0.344
2013-09-26,0.348,0.367,0.332,0.352
2013-09-27,0.348,0.360,0.348,0.348
2013-09-30,0.325,0.356,0.317,0.333
2013-10-01,0.321,0.352,0.317,0.344
2013-10-02,0.337,0.345,0.313,0.333
2013-10-03,0.325,0.345,0.309,0.321
2013-10-04,0.317,0.349,0.305,0.345
2013-10-07,0.325,0.361,0.317,0.353
2013-10-08,0.345,0.405,0.337,0.385
2013-10-09,0.365,0.393,0.357,0.373
2013-10-10,0.365,0.382,0.346,0.358
2013-10-11,0.350,0.366,0.334,0.358
2013-10-15,0.366,0.374,0.342,0.362
2013-10-16,0.354,0.383,0.334,0.338
2013-10-17,0.334,0.346,0.310,0.322
2013-10-18,0.318,0.339,0.303,0.323
2013-10-21,0.319,0.343,0.307,0.319
2013-10-22,0.323,0.335,0.286,0.299
2013-10-23,0.303,0.331,0.287,0.319
2013-10-24,0.323,0.335,0.287,0.315
2013-10-25,0.311,0.328,0.295,0.311
2013-10-28,0.303,0.328,0.299,0.320
2013-10-29,0.311,0.344,0.309,0.317
2013-10-30,0.313,0.336,0.305,0.321
2013-10-31,0.317,0.333,0.305,0.313
2013-11-01,0.309,0.333,0.301,0.321
2013-11-04,0.313,0.321,0.301,0.305
2013-11-05,0.305,0.337,0.297,0.313
2013-11-06,0.302,0.317,0.290,0.302
2013-11-07,0.298,0.310,0.270,0.298
2013-11-08,0.286,0.334,0.278,0.318
2013-11-11,0.290,0.290,0.290,0.290
2013-11-12,0.314,0.354,0.310,0.334
2013-11-13,0.330,0.342,0.302,0.306
2013-11-14,0.302,0.318,0.286,0.298
2013-11-15,0.290,0.310,0.286,0.306
2013-11-18,0.294,0.306,0.274,0.294
2013-11-19,0.286,0.311,0.274,0.298
2013-11-20,0.294,0.315,0.270,0.282
2013-11-21,0.282,0.295,0.266,0.282
2013-11-22,0.278,0.307,0.274,0.299
2013-11-25,0.287,0.307,0.279,0.301
2013-11-26,0.291,0.316,0.289,0.293
